"inputTweet","score","sentiment"
"He made the Amazon ""a"" and penis arrow out of hamburger meat. https://t.co/Pzmc2kIGih",0,"neutral"
"Thank you to whoever bought us the present that arrived from our Amazon Wishlist today! We ❤️ face painting! https://t.co/pmfY5zxEh2",1,"positive"
"""I'm sending you into the unknown, Wu. It's dangerous."" Quote from Plainclothes by Liam Robert Mullen. Available on Amazon.",-1,"negative"
"Can't find time for an epic #adventure, the #CaminoIngles is only 6 days. (That is not a pic of me!)… https://t.co/DFrKTRp4Pa",0,"neutral"
"'Only an #atheist' now has 12 #reviews with an average of 4.4 stars! Love it! #bookreviews #ReaderReviews… https://t.co/XjINU9S5gw",1,"positive"
"e. Discover ""A Lunatic's Guide to Interplanetary Relationships"" via BookTweeter https://t.co/rwgKY0cVnn #bktwtr https://t.co/mLJcWRujIZ",-1,"negative"
"Even More Regency Romance 4 U! Get @pandamoonpub's gr8 reads at Amazon. Find @CheriChampagne’s LOVE &amp; DECEIT at… https://t.co/DFYfqb5ZiE",0,"neutral"
"Amazon officially owns Whole Foods; here are the products that are getting marked down https://t.co/t8iO28mgAN https://t.co/KVd3OdJlbC",0,"neutral"
"This one is sold by ""Must Have Items"" I understand that it isn't bighits official Amazon. https://t.co/TrQzKGd8xd",0,"neutral"
"RT:20% Promo code KREPWFAN!Check https://t.co/rYBHnm5MMo #IP camera#security wifi cam#amazon#deal#shopping https://t.co/UhpSyY0BvQ #giveaway",0,"neutral"
"#NewRelease: Check  Out of Time, new #militaryromance novel by Melissa Klein @klein_klein344 https://t.co/iTAJHMUCVr https://t.co/24xC2OPXKi",0,"neutral"
"RT:20% Promo code SMME32VY!Check https://t.co/LoozT0hJMl #IP camera#security wifi cam#amazon#deal#shopping https://t.co/n2ia5J867f #giveaway",0,"neutral"
"New Nintendo 3DS XL Konsole SNES Edition von Nintendo Plattform: Nintendo… https://t.co/G2iOutfJlL Gamesamade Best",0,"neutral"
"Every time someone mentions @awatazzz on @BachParadise our @amazon Alexa tries to help 😂",0,"neutral"
"amiibo Fire Emblem Tiki von Nintendo Plattform: Nintendo Switch… https://t.co/YaLRcU7Y6L Gamesamade Best",0,"neutral"
"amiibo Fire Emblem Chrom von Nintendo Plattform: Nintendo Switch… https://t.co/WVsKasntSh Gamesamade Best",0,"neutral"
"‘Whole Foods + Amazon’: Here’s what’s cheaper today at the high-end grocer https://t.co/XQjspa0Tw1 by @seattletimes",1,"positive"
"#Spoil @WorshipSienna with gifts https://t.co/quGkq6AsoN #paypig #findom  @RTPork @rtfindom @RTPork https://t.co/ZOBsvzvhGR",0,"neutral"
"#Tips  
Pack your shipments to Amazon correctly to avoid damage, delays and penalty fees #Cliftechnologies

Visit :… https://t.co/VG4OoW0edO",-2,"negative"
"We have always been a nation of creativity and perseverance. https://t.co/UF1t5trROs #nonfiction @JuanitaFarrow",1,"positive"
"RT:10% Promo code 5IDJZSJN!Check https://t.co/sf6OZQNRHr #IP camera#security wifi cam#amazon#deal#shopping https://t.co/n3koAooCPe #giveaway",0,"neutral"
"where's the amazon link bighit posted hhh",0,"neutral"
"Planet 9 (The Dipole series Book 2) 

https://t.co/oOIfOy6kQo

#free #bookboost #scifi #wowbooks",0,"neutral"
"Check out this quote. ""Indians could tolerate poor sanitation, pathetic hospitals, lack of schools, potholed road... https://t.co/ts1xdUu7I4",-3,"negative"
"Gifts are here! Win this #BookLight @ecologicmart https://t.co/w6THHCp6ic &lt;giveawayID&gt; #giveaway https://t.co/LoG6JtyKAG #giveaway",1,"positive"
"#Retweet #Appetizer  https://t.co/kCACdRj1cO Smuckers Simply Fruit Red Raspberry Seedless https://t.co/ffi6nPFHzd",0,"neutral"
"Follow &amp; Retweet to enter to win $25.00 Amazon gift Card https://t.co/L8VDIRTkA9",1,"positive"
"15 contests Fabulous Amazon pictures Mark Giglios Patrons Wife Book Launch FB https://t.co/dKOGIhrND4 https://t.co/45ldbmQm0g #thriller",1,"positive"
"Review of 2017 Amazon Kindle Storyteller Finalist @tonyriches's book ""Henry - Book 3 Tudor Trilogy"": https://t.co/0CTaDHhWVa
#amreading",0,"neutral"
"Mischief, fun &amp; cream cake in #steampunk #Melbourne
Evangeline and the Alchemist

Short read #novella #paranormal… https://t.co/bSOFdDISCJ",0,"neutral"
"The store should unbox one of those and ask Amazon to send another shipment of avocados https://t.co/hg5RXgaVec",0,"neutral"
"@kiyanadine Hobbycraft, next, amazon xx",0,"neutral"
"Amazon Music Unlimited is now cheaper for students - https://t.co/pVuxR6RFR9",2,"positive"
"I just participated in an #AmazonGiveaway for Cleanblend Premium MealPrep Cutting b.... Check it out here:
 https://t.co/q31Rqbs1NV",0,"neutral"
"Reader's Favorite 5* Award Winning Travel Memoir - Kids, Camels, &amp; Cairo @jilldobbe https://t.co/SEhxlkdY33 https://t.co/aiv13UzLJm",3,"positive"
"#scifi ALIEN INNKEEPER Syl wants to be an amazing innkeeper, and her first stop is Irion.  https://t.co/rdi7xaLvCt… https://t.co/qMDG9HUAB8",1,"positive"
"I entered a giveaway for a chance to win ""Mama Bear Paw Print Trucker Style baseball ..."" by Cowgirl West. https://t.co/icoKrKj9OJ #giveaway",1,"positive"
"#Win £100 Amazon voucher https://t.co/UGp5Nw133S &lt;--Tell us what you think #Survey",0,"neutral"
"Teen Health - the Top Ten Best Seller Books   https://t.co/74OYu8eNeY",2,"positive"
"Zombie-Opoly Board Game https://t.co/GU0cDokbiQ #GameNight #TWD #TheWalkingDead https://t.co/ya3dVLRjau",-1,"negative"
"Subliminal Therapy: Using the Mind to Heal.  By Edwin Yager https://t.co/aI3LnYBlnj",1,"positive"
"⚡️ #JIGG⚡️
☕️ 12-Cup Programmable Coffee Maker 
https://t.co/sMhblZe4Cm 
🔌-Only $16.47 / Originally $99.99❗️
🗣84% O… https://t.co/8parZzqnQA",0,"neutral"
"Don't ask questions. You need this. 

Millennium Falcon Float for $23. 

https://t.co/SGDIYv6OeX https://t.co/idkdPOJt0H",0,"neutral"
"AWS Online Tech Talks – August 2017 https://t.co/GoqjnCsjul",0,"neutral"
"Interesting!!! https://t.co/cfUMGusChw",1,"positive"
